"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"14807","FA0052292",90.5555555555556,"160 E DUARTE RD","ARCADIA","FA0052292","TAPIOCA EXPRESS","RESTAURANT (0-30) SEATS HIGH RISK",-118.025461,34.130322
"14808","FA0027594",92.75,"3855 OVERLAND AVE","CULVER CITY","FA0027594","PAMPAS GRILL","RESTAURANT (61-150) SEATS HIGH RISK",-118.406126,34.017608
"14809","FA0044981",93.4444444444444,"8530 S FIGUEROA ST","LOS ANGELES","FA0044981","POPEYES CHICKEN","RESTAURANT (31-60) SEATS HIGH RISK",-118.282705,33.960756
"14810","FA0016010",94.3333333333333,"19814 E COLIMA RD","WALNUT","FA0016010","GUNGJUNG SULRUNGTANG","RESTAURANT (61-150) SEATS HIGH RISK",-117.869427,33.986959
"14811","FA0245900",99.7142857142857,"150 CITADEL DR STE FC-I","COMMERCE","FA0245900","CHIPOTLE MEXICAN GRILL #2985","RESTAURANT (0-30) SEATS HIGH RISK",-118.152725,34.005187
"14812","FA0037226",93.4,"701 W GARVEY AVE","MONTEREY PARK","FA0037226","MANDARIN NOODLE HOUSE","RESTAURANT (31-60) SEATS HIGH RISK",-118.132311,34.062524
"14813","FA0064299",95.5,"10223 SEPULVEDA BLVD STE #A","MISSION HILLS","FA0064299","JENNY'S THAI RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.467538,34.256056
"14814","FA0060653",99.3333333333333,"32250 W TRIUNFO CANYON RD","WESTLAKE VILLAGE","FA0060653","WESTLAKE ATHLETIC CLUB","RESTAURANT (0-30) SEATS LOW RISK",-118.824497,34.133481
"14815","FA0034898",96.2,"6700 E LAUREL CANYON BLVD","NORTH HOLLYWOOD","FA0034898","SUBWAY 959","RESTAURANT (0-30) SEATS MODERATE RISK",-118.396504,34.192366
"14816","FA0008073",94.6,"1910 OCEAN FRONT WALK","SANTA MONICA","FA0008073","HOTEL CASA DEL MAR CATCH RESTAURANT","RESTAURANT (61-150) SEATS HIGH RISK",-118.491689,34.006369
"14817","FA0259502",95,"34 LAS TUNAS DR","ARCADIA","FA0259502","SIMPLY DONUTS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.033005,34.107423
"14818","FA0249658",92.1666666666667,"14650 PARTHENIA ST # Q15","PANORAMA CITY","FA0249658","MAGIC RESTAURANT","RESTAURANT (0-30) SEATS HIGH RISK",-118.451968,34.227885
"14819","FA0249742",94.1428571428571,"907 E 3RD ST","LOS ANGELES","FA0249742","MANUELA","RESTAURANT (61-150) SEATS HIGH RISK",-118.234591,34.045994
"14820","FA0063398",91.2,"2748 W SEPULVEDA BLVD","TORRANCE","FA0063398","HEUNG NAM MYUN OK","RESTAURANT (61-150) SEATS HIGH RISK",-118.33308,33.822799
"14821","FA0058324",94.8333333333333,"9641 SUNSET BLVD","BEVERLY HILLS","FA0058324","BH HOTEL  FOUNTAIN COFFEE RM","RESTAURANT (0-30) SEATS HIGH RISK",-118.412019,34.08166
"14822","FA0171318",91.3333333333333,"2676 PASADENA AVE","LOS ANGELES","FA0171318","MARISCOS EL CAMARON PELADO RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.214982,34.078748
"14823","FA0062089",93.8,"7226 BEVERLY BLVD","LOS ANGELES","FA0062089","FISH GRILL","RESTAURANT (61-150) SEATS HIGH RISK",-118.347147,34.076152
"14824","FA0252825",91.125,"5316 CLARK AVE","LAKEWOOD","FA0252825","OHANA HAWIIAN BBQ","RESTAURANT (31-60) SEATS HIGH RISK",-118.133756,33.854177
